Ex-dividend date,divCash,splitFactor,div_ratio,ticker,DecDay,Time,Link,FundamentLink,headline,PreNewsPrice,OpenPrice,MaxBeforeRecord,MinBeforeRecord,CloseBeforeRecord,OpenAtRecord,AvgVol,AssetType
2022-05-27,0.25,1.0,0.020325203,LUMN,2022-05-19 19:15:00,AMC,https://www.stockwatch.com/News/Item/U-prNY62035-U!LUMN-20220519/U/LUMN,https://www.stockwatch.com/Quote/Fundamentals?U:LUMN,Lumen Technologies declares quarterly cash dividend,11.36,11.38,12.345,10.8,12.3,12.08,14930678.1,Stock
2022-05-27,0.1975,1.0,0.025191327,MARPS,2022-05-20 12:30:00,DAY,https://www.stockwatch.com/News/Item/U-prDA63485-U!MARP-20220520/U/MARP,https://www.stockwatch.com/Quote/Fundamentals?U:MARPS,MARINE PETROLEUM TRUST ANNOUNCES SECOND QUARTER CASH DISTRIBUTION,7.28,7.17,8.25,6.8826,7.84,7.63,142198.85,Stock
2022-04-29,1.0375,1.0,0.020307301,MMP,2022-04-21 19:15:00,AMC,https://www.stockwatch.com/News/Item/U-prDA32272-U!MMP-20220421/U/MMP,https://www.stockwatch.com/Quote/Fundamentals?U:MMP,Magellan Midstream Declares Cash Distribution of $1.0375 for First Quarter 2022,52.33,52.1,53.29,48.51,51.09,50.0,1055639.75,Stock
2022-05-05,0.705,1.0,0.020656314,MPLX,2022-04-26 16:40:00,AMC,https://www.stockwatch.com/News/Item/U-prCL37157-U!MPLX-20220426/U/MPLX,https://www.stockwatch.com/Quote/Fundamentals?U:MPLX,MPLX LP Announces Quarterly Distribution,32.48,32.97,34.13,31.81,34.13,33.24,1550802.6,Stock
2022-04-14,0.425,1.0,0.036764706,MVO,2022-04-05 19:30:00,AMC,https://www.stockwatch.com/News/Item/U-b20220405006132-U!MVO-20220405/U/MVO,https://www.stockwatch.com/Quote/Fundamentals?U:MVO,MV Oil Trust Announces Trust First Quarter Distribution,11.85,11.86,12.15,11.07,11.56,10.86,119421.4,Stock
2022-05-11,0.5884711,1.0,0.080064095,NHYDY,2022-05-11 05:01:00,BMO,https://www.stockwatch.com/News/Item/U-z1000632597-U!NHYDY-20220510/U/NHYDY,https://www.stockwatch.com/Quote/Fundamentals?U:NHYDY,Norsk Hydro: Ex-dividend NOK 5.40 today,,,,,,,,
2022-05-12,0.38,1.0,0.022041763,NRT,2022-04-29 19:16:00,AMC,https://www.stockwatch.com/News/Item/U-prPH41441-U!NRT-20220429/U/NRT,https://www.stockwatch.com/Quote/Fundamentals?U:NRT,NORTH EUROPEAN OIL ROYALTY TRUST ANNOUNCES THE DISTRIBUTION FOR THE SECOND QUARTER OF FISCAL 2022,20.0,20.0,20.72,16.98,17.24,16.58,76902.55,Stock
2022-05-06,0.4,1.0,0.026684456,NS,2022-04-28 22:23:00,AMC,https://www.stockwatch.com/News/Item/U-b20220428006364-U!NS-20220428/U/NS,https://www.stockwatch.com/Quote/Fundamentals?U:NS,"NuStar Energy L.P. Declares First Quarter 2022 Common Unit Distribution and Series A, Series B and Series C Preferred Units Distributions",15.55,15.6,15.78,14.6002,14.99,14.55,677103.25,Stock
2022-04-29,0.67,1.0,0.024732374,OHI,2022-04-21 19:30:00,AMC,https://www.stockwatch.com/News/Item/U-b20220421006044-U!OHI-20220421/U/OHI,https://www.stockwatch.com/Quote/Fundamentals?U:OHI,Omega Announces Quarterly Dividend,27.51,27.52,27.91,26.4193,27.09,26.47,2918371.2,Stock
2022-04-22,0.55,1.0,0.022070626,OPI,2022-04-14 11:00:00,DAY,https://www.stockwatch.com/News/Item/U-b20220413006047-U!OPI-20220414/U/OPI,https://www.stockwatch.com/Quote/Fundamentals?U:OPI,Office Properties Income Trust Announces Quarterly Dividend on Common Shares,24.64,24.6,25.53,24.24,24.92,24.25,268265.75,Stock
2022-04-28,0.2175,1.0,0.020289179,PAA,2022-04-05 20:00:00,AMC,https://www.stockwatch.com/News/Item/U-z8517032-U!PAA-20220405/U/PAA,https://www.stockwatch.com/Quote/Fundamentals?U:PAA,Plains All American Pipeline and Plains GP Holdings Announce Distributions,10.79,10.83,11.55,10.22,10.72,10.59,5266051.4,Stock
2022-05-12,3.522384,1.0,0.026363176,PAC,2022-04-28 21:31:00,AMC,https://www.stockwatch.com/News/Item/U-z8531780-U!PAC-20220428/U/PAC,https://www.stockwatch.com/Quote/Fundamentals?U:PAC,Grupo Aeroportuario del Pacifico Announces the Payment Date of the First Installment of the Dividend Approved at the Ordinary Shareholder's Meeting,158.82,157.65,160.85,133.61,133.61,131.05,54314.6,Stock
2022-05-11,0.3,1.0,0.02020202,PBFX,2022-04-28 09:30:00,DAY,https://www.stockwatch.com/News/Item/U-prNY39416-U!PBFX-20220428/U/PBFX,https://www.stockwatch.com/Quote/Fundamentals?U:PBFX,PBF Logistics Declares Quarterly Distribution of $0.30 per Unit and Announces First Quarter 2022 Earnings Results,15.39,16.0,16.45,14.581,14.85,14.74,244077.4,Stock
2022-05-12,0.964112,1.0,0.039675391,PHG,2022-05-10 13:47:00,DAY,https://www.stockwatch.com/News/Item/U-z1000632459-U!PHG-20220510/U/PHG,https://www.stockwatch.com/Quote/Fundamentals?U:PHG,Philips Annual General Meeting of Shareholders approves dividend and other proposals made to shareholders,25.01,24.83,25.05,24.29,24.3,23.22,2303080.3,Stock
2022-04-13,0.47,1.0,0.029467085,PMT,2022-03-04 11:30:00,DAY,https://www.stockwatch.com/News/Item/U-b20220303005885-U!PMT-20220304/U/PMT,https://www.stockwatch.com/Quote/Fundamentals?U:PMT,PennyMac Mortgage Investment Trust Declares First Quarter 2022 Dividend for Its Common Shares,15.69,15.78,17.24,15.6,15.95,15.43,1149501.6,Stock
2022-05-27,7.38,1.0,0.026358084,PXD,2022-05-04 19:15:00,AMC,https://www.stockwatch.com/News/Item/U-b20220504006020-U!PXD-20220504/U/PXD,https://www.stockwatch.com/Quote/Fundamentals?U:PXD,Pioneer Natural Resources Declares Second Quarter Dividend on Common Shares,252.78,256.94,282.1,241.95,279.99,271.28,1938620.05,Stock
2022-05-27,2.0,1.0,0.029069767,QRTEP,2022-05-18 19:15:00,AMC,https://www.stockwatch.com/News/Item/U-b20220518006024-U!QRTE-20220518/U/QRTE,https://www.stockwatch.com/Quote/Fundamentals?U:QRTEP,"Qurate Retail, Inc. Declares Quarterly Cash Dividend on 8.0% Series A Cumulative Redeemable Preferred Stock",68.0,68.97,70.0678,65.55,68.8,67.01,60932.7,Stock
2022-05-10,1.0,1.0,0.020433183,RILY,2022-04-07 19:05:00,AMC,https://www.stockwatch.com/News/Item/U-prLA18032-U!RILY-20220407/U/RILY,https://www.stockwatch.com/Quote/Fundamentals?U:RILY,B. Riley Financial Declares Preferred Stock Dividends,61.34,61.15,63.72,45.04,48.94,48.98,210876.95,Stock
2022-04-08,0.2125,1.0,0.026629073,RTL,2022-04-01 09:00:00,BMO,https://www.stockwatch.com/News/Item/U-prNY00891-U!RTL-20220401/U/RTL,https://www.stockwatch.com/Quote/Fundamentals?U:RTL,The Necessity Retail REIT Announces Common Stock Dividend for Second Quarter 2022,7.91,7.96,8.19,7.855,7.98,7.79,793249.3,Stock
2022-05-11,2.13,1.0,0.676190476,RVIC,2022-04-12 19:07:00,AMC,https://www.stockwatch.com/News/Item/U-b20220412006081-U!RVIC-20220412/U/RVIC,https://www.stockwatch.com/Quote/Fundamentals?U:RVIC,Retail Value Inc. Announces Sale Closing & Special Common Distribution,3.03,3.03,3.33,3.02,3.15,1.3,590130.25,Stock
2022-05-09,0.3,1.0,0.021141649,RWAY,2022-04-29 11:30:00,DAY,https://www.stockwatch.com/News/Item/U-z8531648-U!RWAY-20220429/U/RWAY,https://www.stockwatch.com/Quote/Fundamentals?U:RWAY,Runway Growth Announces Second Quarter 2022 Dividend of $0.30,14.58,14.37,14.59,14.0,14.19,13.7,52705.6,Stock
2022-04-08,0.12,1.0,0.024144869,SACH,2022-04-01 10:00:00,DAY,https://www.stockwatch.com/News/Item/U-z8514381-U!SACH-20220401/U/SACH,https://www.stockwatch.com/Quote/Fundamentals?U:SACH,Sachem Capital Corp. Announces Dividend of $0.12 Per Share,5.25,5.23,5.285,4.86,4.97,4.87,201008.8,Stock
2022-06-02,1.65,1.0,0.04954955,SBLK,2022-05-24 20:29:00,AMC,https://www.stockwatch.com/News/Item/U-z8559242-U!SBLK-20220524/U/SBLK,https://www.stockwatch.com/Quote/Fundamentals?U:SBLK,Star Bulk Carriers Corp. Reports Net Profit of $170.4 Million for the First Quarter of 2022 and Declares Quarterly Dividend of $1.65 Per Share,32.79,33.13,33.99,30.62,33.3,31.87,2146952.5,Stock
2022-04-28,0.507794,1.0,0.025581562,SDVKY,2022-03-23 15:12:00,DAY,https://www.stockwatch.com/News/Item/U-prIO01607-U!SDVKY-20220323/U/SDVKY,https://www.stockwatch.com/Quote/Fundamentals?U:SDVKY,"Sandvik to propose distribution and listing of SMT to the AGM, announces the planned new name",22.42,22.8001,23.14,19.47,19.85,18.9701,311010.1,Stock
2022-05-02,0.3,1.0,0.021231423,SHLX,2022-04-21 11:00:00,DAY,https://www.stockwatch.com/News/Item/U-z8526024-U!SHLX-20220421/U/SHLX,https://www.stockwatch.com/Quote/Fundamentals?U:SHLX,"Shell Midstream Partners, L.P. Declares Distribution of $0.30 Per Limited Partner Common Unit",14.39,14.25,14.38,13.915,14.13,13.86,1084636.85,Stock
2022-05-16,0.45,1.0,0.060321716,SIGA,2022-05-05 10:30:00,DAY,https://www.stockwatch.com/News/Item/U-z8536223-U!SIGA-20220505/U/SIGA,https://www.stockwatch.com/Quote/Fundamentals?U:SIGA,SIGA Declares Special Dividend of $0.45 Per Share,7.25,7.27,7.94,7.24,7.46,7.11,126599.2,Stock
2022-05-09,0.5,1.0,0.026567481,SIRE,2022-04-29 19:03:00,AMC,https://www.stockwatch.com/News/Item/U-b20220429005649-U!SIRE-20220429/U/SIRE,https://www.stockwatch.com/Quote/Fundamentals?U:SIRE,Sisecam Resources LP Announces Quarterly Cash Distribution,20.18,19.65,19.8,18.75,18.82,18.4,20479.95,Stock
2022-04-28,1.0,1.0,0.059988002,SKT,2022-04-11 11:00:00,DAY,https://www.stockwatch.com/News/Item/U-prCL18266-U!SKT-20220411/U/SKT,https://www.stockwatch.com/Quote/Fundamentals?U:SKT,Tanger Increases Dividend by 9.6%,17.01,17.11,18.56,16.65,16.67,16.63,822685.35,Stock
2022-05-09,0.27,1.0,0.02755102,SRL,2022-04-29 21:50:00,AMC,https://www.stockwatch.com/News/Item/U-prLA42168-U!SRL-20220429/U/SRL,https://www.stockwatch.com/Quote/Fundamentals?U:SRL,"SCULLY ROYALTY LTD. PROVIDES CORPORATE UPDATE, FILES ITS 2021 ANNUAL REPORT ON FORM 20-F AND DECLARES ITS SECOND 2022 CASH DIVIDEND",8.54,8.71,10.35,8.6,9.8,9.96,8835.4,Stock
2022-05-05,0.4338,1.0,0.025898507,SRLP,2022-04-25 09:00:00,BMO,https://www.stockwatch.com/News/Item/U-z8526837-U!SRLP-20220425/U/SRLP,https://www.stockwatch.com/Quote/Fundamentals?U:SRLP,Sprague Resources LP Announces Cash Distribution for the First Quarter of 2022 and Earnings Conference Call Schedule,16.32,16.41,17.15,16.17,16.75,15.57,12638.55,Stock
2022-04-19,1.122,1.0,0.074304636,STLA,2022-02-25 22:20:00,AMC,https://www.stockwatch.com/News/Item/U-z1000607317-U!STLA-20220225/U/STLA,https://www.stockwatch.com/Quote/Fundamentals?U:STLA,Stellantis Publishes 2021 Annual Report and Files Form 20-F and Provides Calendar of Proposed Dividend Distribution,19.15,17.84,18.49,13.761,15.1,14.18,3952377.0,Stock
2022-04-28,0.1,1.0,0.022421525,TGA,2022-03-16 22:14:00,AMC,https://www.stockwatch.com/News/Item/U-nf117121_313-U!TGA-20220316/U/TGA,https://www.stockwatch.com/Quote/Fundamentals?U:TGA,Transglobe Energy Corporation Announces Declaration of Dividend,3.35,3.71,5.12,3.43,4.46,4.44,889881.05,Stock
2022-04-22,0.525,1.0,0.026609225,USAC,2022-04-14 19:30:00,AMC,https://www.stockwatch.com/News/Item/U-b20220414005769-U!USAC-20220414/U/USAC,https://www.stockwatch.com/Quote/Fundamentals?U:USAC,USA Compression Partners Announces First Quarter 2022 Distribution; First Quarter 2022 Earnings Release and Conference Call Scheduled for May 3,19.55,19.78,20.14,19.31,19.73,19.03,184606.5,Stock
2022-05-31,0.18125,1.0,0.020737986,VIA,2022-04-21 21:01:00,AMC,https://www.stockwatch.com/News/Item/U-by0698399-U!VIA-20220421/U/VIA,https://www.stockwatch.com/Quote/Fundamentals?U:VIA,"Via Renewables, Inc. Announces Dividend on Common and Preferred Stock",7.83,7.85,8.79,7.1,8.74,8.61,135879.35,Stock
2022-04-29,0.28,1.0,0.03566879,VOC,2022-04-20 19:30:00,AMC,https://www.stockwatch.com/News/Item/U-b20220420006041-U!VOC-20220420/U/VOC,https://www.stockwatch.com/Quote/Fundamentals?U:VOC,VOC Energy Trust Announces Trust Quarterly Distribution,7.77,7.9,7.95,7.02,7.85,7.55,116158.45,Stock
2022-04-29,0.5,1.0,0.02004008,WES,2022-04-21 11:30:00,DAY,https://www.stockwatch.com/News/Item/U-b20220421005040-U!WES-20220421/U/WES,https://www.stockwatch.com/Quote/Fundamentals?U:WES,Western Midstream Announces First-Quarter 2022 Distribution Increase and Earnings Conference Call,26.99,26.16,26.26,23.39,24.95,24.64,856790.6,Stock
2022-05-27,2.85,1.0,0.040989501,ZIM,2022-05-26 19:10:00,AMC,https://www.stockwatch.com/News/Item/U-prLN69321-U!ZIM-20220526/U/ZIM,https://www.stockwatch.com/Quote/Fundamentals?U:ZIM,ZIM Updates on Withholding Tax Procedures on June 2022 Cash Dividend,,,,,,,,
2022-04-08,2.16412,1.0,0.044256033,ZURVY,2022-03-17 20:18:00,AMC,https://www.stockwatch.com/News/Item/U-prCG95998-U!ZURVY-20220317/U/ZURVY,https://www.stockwatch.com/Quote/Fundamentals?U:ZURVY,Zurich adds select agencies to its F&I distribution strategy,47.09,47.17,49.95,47.14,48.9,46.96,165369.15,Stock
2022-04-21,0.18,1.0,0.02247191,usa,2022-04-11 15:00:00,DAY,https://www.stockwatch.com/News/Item/U-prNY21297-U!USA-20220411/U/USA,https://www.stockwatch.com/Quote/Fundamentals?U:usa,Liberty All-Star(TM) Equity Fund Declares Distribution,7.86,7.78,8.115,7.7026,8.01,7.83,1147099.6,unknown
