date,time,ticker,headline,link
2022-06-09 09:26:00,BMO,FHI,Federated Hermes Premier Municipal Income Fund declares dividend and announces change in leverage,https://www.stockwatch.com/News/Item?bid=U-prNE84058-U:FHI-20220609&symbol=FHI&region=U&hitwords=dividend+share+dividends+per
2022-06-09 09:26:00,BMO,FMN,Federated Hermes Premier Municipal Income Fund declares dividend and announces change in leverage,https://www.stockwatch.com/News/Item?bid=U-prNE84058-U:FMN-20220609&symbol=FMN&region=U&hitwords=per+dividends+share+dividend
2022-06-09 09:09:00,BMO,PUXPF,"Puma Exploration Announces Record Date in Connection With a Distribution of Common Shares of Canadian Copper, a Strategically-Focused Company With Copper Exploration Projects in Canada",https://www.stockwatch.com/News/Item?bid=U-z8569409-U:PUXPF-20220609&symbol=PUXPF&region=U&hitwords=distribution+distribute
2022-06-09 06:30:00,BMO,TGT,Target Corporation Increases Quarterly Dividend by 20 Percent,https://www.stockwatch.com/News/Item?bid=U-prCG83442-U:TGT-20220609&symbol=TGT&region=U&hitwords=dividend
2022-06-09 09:00:00,BMO,NUE,Nucor Announces 197th Consecutive Cash Dividend,https://www.stockwatch.com/News/Item?bid=U-prCL84369-U:NUE-20220609&symbol=NUE&region=U&hitwords=share+per+dividend
2022-06-09 07:30:00,BMO,OPGN,OpGen Subsidiary Curetis and Leader Life Sciences Enter into Unyvero Distribution Partnership for U.A.E. and Qatar,https://www.stockwatch.com/News/Item?bid=U-z8568671-U:OPGN-20220609&symbol=OPGN&region=U&hitwords=distribution
2022-06-09 09:17:00,BMO,UHT,UNIVERSAL HEALTH REALTY INCOME TRUST ANNOUNCES DIVIDEND INCREASE,https://www.stockwatch.com/News/Item?bid=U-prPH84445-U:UHT-20220609&symbol=UHT&region=U&hitwords=dividend+share+per
2022-06-09 09:18:00,BMO,SPE,"Special Opportunities Fund, Inc. Dividend Declaration",https://www.stockwatch.com/News/Item?bid=U-b20220609005653-U:SPE-20220609&symbol=SPE&region=U&hitwords=per+share+dividend
2022-06-09 06:31:00,BMO,EMX,EMX Royalty Announces Q1 Royalty Distribution from the Caserones Copper-Molybdenum Mine in Chile,https://www.stockwatch.com/News/Item?bid=U-nf127017_313-U:EMX-20220609&symbol=EMX&region=U&hitwords=distribution+distributions
2022-06-09 08:30:00,BMO,HLIO,Helios Technologies Declares 102nd Consecutive Quarterly Cash Dividend,https://www.stockwatch.com/News/Item?bid=U-b20220609005229-U:HLIO-20220609&symbol=HLIO&region=U&hitwords=dividend
2022-06-08 06:59:00,BMO,WFG,WEST FRASER INCREASES QUARTERLY DIVIDEND,https://www.stockwatch.com/News/Item?bid=U-C6189-U:WFG-20220608&symbol=WFG&region=U&hitwords=share+per+dividends+dividend+distribute
2022-06-08 17:15:00,AMC,BTG,B2Gold Declares Second Quarter 2022 Dividend of $0.04 per Share,https://www.stockwatch.com/News/Item?bid=U-C7384-U:BTG-20220608&symbol=BTG&region=U&hitwords=dividends+dividend+per+share
2022-06-08 06:59:00,BMO,WFG,WEST FRASER INCREASES QUARTERLY DIVIDEND,https://www.stockwatch.com/News/Item?bid=U-prVA82277-U:WFG-20220608&symbol=WFG&region=U&hitwords=dividend+share+distribute+per+dividends
2022-06-08 17:15:00,AMC,BTG,B2Gold Declares Second Quarter 2022 Dividend of $0.04 per Share,https://www.stockwatch.com/News/Item?bid=U-prVA83546-U:BTG-20220608&symbol=BTG&region=U&hitwords=share+per+dividend+dividends
2022-06-08 17:21:00,AMC,ODC,Oil-Dri Increases Dividends for 19th Consecutive Year,https://www.stockwatch.com/News/Item?bid=U-z8568859-U:ODC-20220608&symbol=ODC&region=U&hitwords=share+per+dividend+dividends
2022-06-08 17:00:00,AMC,KSM,Certain DWS Closed-End Funds Declare Monthly Distributions,https://www.stockwatch.com/News/Item?bid=U-b20220608005838-U:KSM-20220608&symbol=KSM&region=U&hitwords=per+share+dividend+dividends+distributions
2022-06-08 17:00:00,AMC,KTF,Certain DWS Closed-End Funds Declare Monthly Distributions,https://www.stockwatch.com/News/Item?bid=U-b20220608005838-U:KTF-20220608&symbol=KTF&region=U&hitwords=distributions+dividends+dividend+share+per
2022-06-08 10:05:00,DAY,CAT,Caterpillar Inc. Increases Dividend,https://www.stockwatch.com/News/Item?bid=U-prCG82794-U:CAT-20220608&symbol=CAT&region=U&hitwords=share+dividend+per+dividends
2022-06-08 16:15:00,AMC,ACR,ACRES Commercial Realty Corp. Declares Quarterly Cash Dividends for its Preferred Stock,https://www.stockwatch.com/News/Item?bid=U-prNY82204-U:ACR-20220608&symbol=ACR&region=U&hitwords=dividends+share+per+dividend
2022-06-08 16:30:00,AMC,BEN,"Franklin Resources, Inc. Announces Quarterly Dividend",https://www.stockwatch.com/News/Item?bid=U-b20220608006088-U:BEN-20220608&symbol=BEN&region=U&hitwords=share+per+dividend
2022-06-08 11:12:00,DAY,BRT,BRT Apartments Corp. Raises Quarterly Dividend 8.7%,https://www.stockwatch.com/News/Item?bid=U-z8568612-U:BRT-20220608&symbol=BRT&region=U&hitwords=share+per+dividend
2022-06-08 16:15:00,AMC,NLY,"Annaly Capital Management, Inc. Announces 2nd Quarter 2022 Common Stock Dividend of $0.22 Per Share",https://www.stockwatch.com/News/Item?bid=U-b20220608005992-U:NLY-20220608&symbol=NLY&region=U&hitwords=share+per+distribution+dividend
2022-06-08 16:30:00,AMC,AEO,AEO Inc. Declares a Regular Quarterly Dividend of $0.18 Per Share,https://www.stockwatch.com/News/Item?bid=U-b20220608006090-U:AEO-20220608&symbol=AEO&region=U&hitwords=share+per+dividend
2022-06-08 16:15:00,AMC,AFT,Apollo Senior Floating Rate Fund Inc. Declares June 2022 Monthly Distribution of $0.085 Per Share,https://www.stockwatch.com/News/Item?bid=U-z8568793-U:AFT-20220608&symbol=AFT&region=U&hitwords=per+share+distribution
2022-06-08 16:15:00,AMC,AIF,Apollo Tactical Income Fund Inc. Declares June 2022 Monthly Distribution of $0.090 Per Share,https://www.stockwatch.com/News/Item?bid=U-z8568796-U:AIF-20220608&symbol=AIF&region=U&hitwords=distribution+share+per
2022-06-08 09:00:00,BMO,BSVN,Bank7 Corp. Declares Quarterly Cash Dividend on Common Stock,https://www.stockwatch.com/News/Item?bid=U-prDA79194-U:BSVN-20220608&symbol=BSVN&region=U&hitwords=share+per+dividend
2022-06-08 09:05:00,BMO,KLIC,Kulicke & Soffa Declares Quarterly Dividend of $0.17,https://www.stockwatch.com/News/Item?bid=U-prPH78563-U:KLIC-20220608&symbol=KLIC&region=U&hitwords=share+per+dividend
2022-06-08 10:30:00,DAY,RSHN,"Rushnet, Inc Pursues Spinoff of HeliosDX, Dividend",https://www.stockwatch.com/News/Item?bid=U-by0704320-U:RSHN-20220608&symbol=RSHN&region=U&hitwords=dividend+distributed
2022-06-08 08:45:00,BMO,CLVR,Cantourage and Clever Leaves intensify strategic partnership for distribution of medical cannabis in Germany,https://www.stockwatch.com/News/Item?bid=U-prLN82697-U:CLVR-20220608&symbol=CLVR&region=U&hitwords=distribution+distributes
2022-06-08 16:01:00,AMC,MGRC,McGrath RentCorp Declares Quarterly Dividend,https://www.stockwatch.com/News/Item?bid=U-b20220607006302-U:MGRC-20220608&symbol=MGRC&region=U&hitwords=dividend
2022-06-08 16:05:00,AMC,JCI,Johnson Controls Announces Quarterly Dividend,https://www.stockwatch.com/News/Item?bid=U-prCG81600-U:JCI-20220608&symbol=JCI&region=U&hitwords=dividend
2022-06-08 08:30:00,BMO,RCII,"Rent-A-Center, Inc. Declares Quarterly Cash Dividend of $0.34 for the Third Quarter of 2022",https://www.stockwatch.com/News/Item?bid=U-b20220608005668-U:RCII-20220608&symbol=RCII&region=U&hitwords=dividend
2022-06-08 16:38:00,AMC,KAMN,Kaman Board of Directors Declares Dividend,https://www.stockwatch.com/News/Item?bid=U-b20220608006084-U:KAMN-20220608&symbol=KAMN&region=U&hitwords=dividend
2022-06-08 08:30:00,BMO,GSL,Global Ship Lease Declares Quarterly Dividend on its 8.75% Series B Cumulative Redeemable Perpetual Preferred Shares,https://www.stockwatch.com/News/Item?bid=U-z8567750-U:GSL-20220608&symbol=GSL&region=U&hitwords=dividend
2022-06-08 08:00:00,BMO,MICS,"Singing Machine Expands Distribution in Australia, New Zealand",https://www.stockwatch.com/News/Item?bid=U-z8568090-U:MICS-20220608&symbol=MICS&region=U&hitwords=distribution+distributes
